surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
386,19891204LACAS,Winter,Caddo Magnet High School,Shreveport,LA,High,School Bus,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,7,Unknown,Unknown
387,19891205PASEM,Winter,Serra Catholic High School bus,McKeesport,PA,High,School Bus,Murder/Suicide,Victims Targeted,No,No,No,No,No,No,2,Unknown,Unknown
388,19891205TXWWD,Winter,W W Samuell High School,Dallas,TX,High,Hallway,Escalation of Dispute,Both,No,No,No,No,Yes,No,9,Unknown,8:20:00
389,19891212SCCHC,Winter,Chester High School,Chester,SC,High,Courtyard,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
390,19900116RICEP,Winter,Central High School,Providence,RI,High,Beside Building,Bullying,Random Shooting,No,No,Yes,No,No,No,4,Unknown,Unknown
391,19900220OHTAC,Winter,Taft High School,Cincinnati,OH,High,Outside on School Property,Escalation of Dispute,Both,No,No,No,No,No,No,10,Unknown,15:00:00
392,19900327NYNEB,Spring,New Utrecht High School,Brooklyn,NY,High,Hallway,Racial,Victims Targeted,No,No,No,No,No,No,1,Unknown,8:40:00
393,19900403TXSKD,Spring,Skyline High School,Dallas,TX,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,Unknown,Unknown
394,19900504CAMOE,Spring,Mount Pleasant High School,East San Jose,CA,High,Hallway,Racial,Both,No,No,No,No,No,No,8,Unknown,Unknown
395,19900520TNHIC,Spring,Hickman County High School,Centerville,TN,High,Hallway,Psychosis,Victims Targeted,No,No,No,No,No,No,2,Unknown,9:00:00
396,19900531TXSUF,Spring,Sunrise Elementary School,Fort Worth,TX,Elementary,PlaygrouUnknown,Indiscriminate Shooting,Random Shooting,No,No,No,No,No,No,4,Unknown,10:15:00
397,19900824NCMYC,Summer,Myers Park High School,Charlotte,NC,High,Football Field/Track,Unknown,Unknown,No,No,No,No,Unknown,No,8,Unknown,Unknown
398,19900827NVELL,Summer,Eldorado High School,Las Vegas,NV,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,10,Unknown,7:15:00
399,19900827TXWHD,Summer,W H Adamson High School,Dallas,TX,High,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,3,Unknown,10:15:00
400,19900906GASOC,Fall,South Forsyth Middle School - High School,Cumming,GA,6-12,Classroom,Hostage/Standoff,Both,Yes,No,Unknown,No,No,Yes,1,Yes,8:25:00
401,19900911TXSAS,Fall,Sam Houston High School,San Antonio,TX,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,10,Unknown,11:55:00
402,19900922ALLEB,Fall,Legion Field Statium (high school game),Birmingham,AL,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,Unknown,No,10,No,Unknown
