surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
1466,20190430VACDW,Spring,C D Hylton High School,Woodbridge,VA,High,Classroom,Accidental,Neither,No,No,No,No,No,No,1,No,12:00:00
1468,20190508ILSEC,Spring,Second Change High School,Chicago,IL,High,Parking Lot,Drive-by Shooting,Victims Targeted,No,No,No,No,Unknown,No,1,No,16:00:00
1469,20190517FLTEJ,Spring,Terry Parker High School,Jacksonville,FL,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,1,No,20:37:00
1470,20190517ORPAP,Spring,Parkrose High School,PortlaUnknown,OR,High,Classroom,Suicide/Attempted,Unknown,No,No,Unknown,No,No,Unknown,12,Yes,11:48:00
1471,20190522OHSAC,Spring,Shady Lane Elementary School,Columbus,OH,Elementary,PlaygrouUnknown,Escalation of Dispute,Both,No,No,No,No,No,No,4,No,18:50:00
1472,20190530DCHEW,Spring,Hendley Elementary School,Washington,DC,Elementary,Front of School,Escalation of Dispute,Unknown,No,No,No,No,Yes,No,15,No,22:40:00
1473,20190606ILGEC,Summer,Genevieve Melody STEM Elementary School,Chicago,IL,Elementary,Basketball Court,Escalation of Dispute,Unknown,No,No,No,No,Unknown,No,9,No,19:45:00
1474,20190610ILMEW,Summer,Menta Academy North,Waukegan,IL,Other,Front of School,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,9,No,13:45:00
1475,20190612DCHEW,Summer,Hendley Elementary School,Washington,DC,Elementary,Front of School,Escalation of Dispute,Unknown,No,No,No,No,Yes,No,7,No,16:20:00
1477,20190613NJTAW,Summer,Tamaques Elementary School,Westfield,NJ,Elementary,Parking Lot,Indiscriminate Shooting,Unknown,No,No,No,Unknown,No,Unknown,13,No,15:55:00
1478,20190621MICAF,Summer,Carman-Ainsworth High School,Flint Township,MI,High,Beside Building,Escalation of Dispute,Unknown,No,No,No,No,No,No,10,No,19:33:00
1480,20190701NYSCN,Summer,School of Science and Applied Learning,New York,NY,Elementary,PlaygrouUnknown,Illegal Activity,Victims Targeted,No,No,No,No,No,No,10,No,22:20:00
1481,20190702AKWIA,Summer,Williwaw Elementary School,Anchorage,AK,Elementary,Basketball Court,Escalation of Dispute,Unknown,No,No,No,No,No,No,10,No,18:47:00
1483,20190719CAMOS,Summer,Monroe Clark Middle School,San Diego,CA,Middle,Front of School,Intentional Property Damage,Neither,No,No,No,No,No,No,8,No,11:55:00
1484,20190808ALBLM,Summer,Blount Elementary School,Montgomery,AL,Elementary,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,No,7:30:00
1486,20190815TNEAN,Summer,East Magnet High School,Nashville,TN,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,Unknown,No,10,No,Unknown
1487,20190817GALAA,Summer,Lakewood Stadium,Atlanta,GA,High,Football Field/Track,Escalation of Dispute,Both,No,No,No,No,Yes,No,6,No,21:00:00
1489,20190823GAPEC,Summer,Peek's Chapel Elementary School,Conyers,GA,Elementary,Outside on School Property,Unknown,Unknown,No,No,Unknown,No,Unknown,No,6,No,18:35:00
1490,20190823MOPAS,Summer,Parkway North High School,St. Louis,MO,High,Football Field/Track,Escalation of Dispute,Unknown,No,No,No,No,No,No,5,No,20:15:00
2022,20220427TXMOS,Spring,Morrill Elementary School,San Antonio,TX,Elementary,Front of School,Officer-Involved Shooting,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,9,Unknown,20:18:00
2023,20220430PAMCJ,Spring,McKee Middle School (McKee Stadium),Jeannette City,PA,Middle,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,No,10:15:00
2024,20220501OHHAC,Spring,Hamilton Stem Academy,Columbus,OH,Elementary,Parking Lot,Unknown,Victims Targeted,No,No,No,Unknown,Unknown,No,4,No,13:30:00
2025,20220501VALOM,Spring,Louise A. Benton Middle School,Manassas,VA,Middle,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,99,No,10:15:00
2026,20220503CAARS,Spring,Arrowview Middle School,San Bernardino,CA,Middle,Outside on School Property,Drive-by Shooting,Both,No,No,No,No,Unknown,No,99,No,5:45:00
2027,20220505ALDOD,Spring,Dothan City School Bus,Dothan,AL,K-12,School Bus,Intentional Property Damage,Random Shooting,No,No,No,No,No,No,99,No,15:00:00
2028,20220505OHLOL,Spring,Lowellville K-12 School,Lowellville,OH,K-12,Cafeteria,Suicide/Attempted,Victims Targeted,No,No,Unknown,No,No,No,1,No,10:30:00
2029,20220509GARIS,Spring,Riverside Elementary School,Suwanee,GA,Elementary,School Bus,Unknown,Victims Targeted,No,No,No,No,No,No,12,No,7:15:00
2030,20220509NYEDS,Spring,Eden Ii Institute,Staten IslaUnknown,NY,Other,Front of School,Escalation of Dispute,Victims Targeted,No,No,No,No,Unknown,No,99,No,15:15:00
2031,20220511FLJAJ,Spring,Andrew Jackson High School,Jacksonville,FL,High,Beside Building,Drive-by Shooting,Victims Targeted,No,No,No,No,Unknown,No,10,No,15:00:00
2032,20220512ARHOH,Spring,Hot Springs High School,Hot Springs,AR,High,Off School Property,Escalation of Dispute,Both,No,No,No,No,No,No,99,No,19:00:00
2033,20220512TXHEH,Spring,Heights High School,Houston,TX,High,Parking Lot,Unknown,Victims Targeted,No,No,No,No,Unknown,No,9,No,13:15:00
2034,20220513FLALW,Spring,Alexander W. Dreyfoos School of the Arts,West Palm Beach,FL,High,Beside Building,Officer-Involved Shooting,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,8,No,12:00:00
2035,20220513GASOM,Spring,Southwest High School,Macon,GA,High,Parking Lot,Unknown,Unknown,No,No,No,No,Unknown,No,6,No,19:49:00
2036,20220515ILMEP,Spring,Meadow View Elementary School,Plainfield,IL,Elementary,Field (General),Unknown,Victims Targeted,No,No,No,No,Unknown,No,9,No,19:30:00
2037,20220515NHBEB,Spring,Belmont Elementary School,Belmont,NH,Elementary,Parking Lot,Drive-by Shooting,Random Shooting,No,No,No,No,No,No,4,No,10:00:00
2038,20220516TXMEM,Spring,Mexia High School,Mexia,TX,High,Bathroom,Unknown,Unknown,No,No,No,No,Unknown,No,1,No,11:20:00
2039,20220517CASAS,Spring,School Bus,San Francisco,CA,Other,School Bus,Drive-by Shooting,Both,No,No,No,No,Unknown,No,99,No,9:00:00
2040,20220517ILWAC,Spring,Walt Disney Magnet School,Chicago,IL,K-8,Classroom,Accidental,Random Shooting,No,No,No,No,No,No,1,No,10:00:00
2041,20220518FLPAP,Spring,Palmetto High School,Palmetto,FL,High,Football Field/Track,Escalation of Dispute,Victims Targeted,No,No,No,No,Unknown,No,1,No,21:30:00
2042,20220518TNRIM,Spring,Riverdale High School,Murfreesboro,TN,High,Off School Property,Escalation of Dispute,Both,No,No,No,No,Unknown,No,8,No,21:30:00
2043,20220519LAHAH,Spring,Hammond High Magnet School,HammoUnknown,LA,High,Off School Property,Escalation of Dispute,Both,No,No,No,No,Yes,No,10,No,20:00:00
1,19700105DCHIW,Winter,Hine Junior High School,Washington,DC,High,Inside School Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
2,19700105DCSOW,Winter,Sousa Junior High,Washington,DC,Junior High,Hallway,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
3,19700105DCUNW,Winter,Unnamed High School,Washington,DC,High,PlaygrouUnknown,Illegal Activity,Victims Targeted,No,No,No,No,No,No,2,Unknown,Unknown
4,19700206OHJOC,Winter,John F. Kennedy High School,ClevelaUnknown,OH,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,4,Unknown,Unknown
5,19700226CABAB,Winter,Barstow High School,Barstow,CA,High,Courtyard,Escalation of Dispute,Both,No,No,Yes,No,No,Yes,6,No,Unknown
6,19700323CADAL,Spring,David Starr Jordan High School,Long Beach,CA,High,Beside Building,Illegal Activity,Neither,No,No,No,No,No,No,10,Unknown,Unknown
7,19700415ARPIP,Spring,Pine Bluff Coleman High School,Pine Bluff,AR,High,Cafeteria,Escalation of Dispute,Both,No,No,No,No,Yes,No,20,Unknown,12:00:00
8,19700422DEPIW,Spring,Pierre S. Dupont High School,Wilmington,DE,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,9:00:00
9,19700508FLCAD,Spring,Carver High School,Delray Beach,FL,High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,10:00:00
10,19700515UTBEO,Spring,Ben Lomond High School,Ogden,UT,High,Hallway,Suicide/Attempted,Random Shooting,No,No,Unknown,No,No,No,2,Unknown,Unknown
11,19700828TXRIE,Summer,Riverside High School,El Paso,TX,High,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,Unknown,0:00:00
12,19700831FLALM,Summer,Allapatah Elementary School,Miami,FL,Elementary,Inside School Building,Racial,Victims Targeted,No,No,No,No,No,No,8,Unknown,Unknown
17,19701019TNBOM,Fall,Booker T. Washington High School,Memphis,TN,High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,Unknown
20,19701120ILHAC,Fall,Harlan High School,Chicago,IL,High,Inside School Building,Illegal Activity,Unknown,No,No,No,No,Yes,No,9,Unknown,Unknown
24,19710210TXOAD,Winter,Oak Cliff High School,Dallas,TX,High,Outside on School Property,Escalation of Dispute,Both,No,No,No,No,No,No,2,Unknown,Unknown
27,19710405PAWIH,Spring,William Penn High School,Harrisburg,PA,High,Cafeteria,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,5,Unknown,Unknown
31,19710909TXDUL,Fall,Dunbar High School,Lubbock,TX,High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,10,Unknown,Unknown
34,19710929VAPEP,Fall,Peabody Junior High School,Petersburg,VA,Junior High,Classroom,Indiscriminate Shooting,Random Shooting,No,No,Unknown,No,No,No,4,Yes,Unknown
37,19711029MDFRB,Fall,Frederick Douglass High School,Baltimore,MD,High,Parking Lot,Escalation of Dispute,Random Shooting,No,No,No,No,No,No,10,Unknown,15:00:00
42,19711213MDCAB,Winter,Carver Vocational High School,Baltimore,MD,High,Classroom,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,8:18:00
44,19720124OHSTS,Winter,Stow High School,Stow,OH,High,Classroom,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,1,Unknown,10:00:00
48,19720215ILKEC,Winter,Kenwood High School,Chicago,IL,High,Inside School Building,Illegal Activity,Victims Targeted,No,Yes,Unknown,Unknown,Unknown,Unknown,9,Unknown,Unknown
52,19720504NVLIR,Spring,Libby Booth Elementary School,Reno,NV,Elementary,Office,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,3,Unknown,12:00:00
55,19720915MISAS,Fall,Saginaw High School,Saginaw,MI,High,Hallway,Escalation of Dispute,Unknown,No,No,Unknown,Unknown,Unknown,No,7,Unknown,Unknown
58,19721111CAJEL,Fall,Jefferson High School,Los Angeles,CA,High,Football Field/Track,Escalation of Dispute,Both,No,No,No,No,Yes,No,5,Unknown,Unknown
63,19730131NCCUB,Winter,Cumming High School,Burlington,NC,High,Inside School Building,Illegal Activity,Victims Targeted,No,No,No,No,No,No,1,Unknown,12:00:00
66,19730405CALOL,Spring,Locke High School,Los Angeles,CA,High,Unknown,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,5,Unknown,Unknown
68,19730928CAWIL,Fall,Wilson High School,Los Angeles,CA,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,10:30:00
72,19731023OHBAB,Fall,Barberton High School,Barberton,OH,High,Office,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,3,Yes,12:00:00
76,19731109CALOL,Fall,Long Beach Polytechnic High School,Los Angeles,CA,High,Front of School,Drive-by Shooting,Unknown,No,No,No,Unknown,Yes,No,3,Unknown,Unknown
80,19740122CALOL,Winter,Locke High School,Los Angeles,CA,High,Football Field/Track,Unknown,Random Shooting,No,No,No,No,Yes,No,5,Unknown,Unknown
82,19740322INBRB,Spring,Brownstown Central High School,Brownstown,IN,High,Parking Lot,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,Yes,2,Unknown,8:00:00
87,19740925CASAL,Fall,San Fernando High School,Los Angeles,CA,High,Unknown,Escalation of Dispute,Unknown,No,No,Unknown,Unknown,No,No,10,Unknown,Unknown
89,19741021MDDOB,Fall,Douglass High School,Baltimore,MD,High,Inside School Building,Illegal Activity,Neither,No,No,No,No,No,No,3,Unknown,Unknown
93,19741218CAMAL,Winter,Manual Arts High School,Los Angeles,CA,High,Unknown,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,8,Unknown,12:00:00
96,19750224NJSTP,Winter,St. James School,Penns Grove,NJ,K-8,Classroom,Psychosis,Both,No,No,Unknown,No,No,Yes,1,Yes,Unknown
99,19750321OHPAD,Spring,Patterson Cooperative High School,Dayton,OH,High,Classroom,Illegal Activity,Victims Targeted,Yes,No,No,No,No,Yes,1,Yes,Unknown
102,19750527MIPID,Spring,Pitcher School,Detroit,MI,Elementary,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
105,19750911OKGRO,Fall,Grant High School,Oklahoma City,OK,High,Inside School Building,Racial,Both,No,No,No,No,No,No,3,Unknown,Unknown
109,19760101AZCAP,Winter,Camelback High School,Phoenix,AZ,High,Outside on School Property,Indiscriminate Shooting,Unknown,No,No,No,No,No,No,10,Unknown,Unknown
13,19700914TNHAN,Fall,Hamilton High School,Nashville,TN,High,Hallway,Escalation of Dispute,Both,No,No,No,No,No,No,3,Unknown,Unknown
14,19700924IDMEM,Fall,Meridian High School,Meridian ,ID,High,Parking Lot,Accidental,Random Shooting,Unknown,No,No,No,No,No,1,No,Unknown
15,19700928IACED,Fall,Central High School,Davenport,IA,High,Bathroom,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,1,Unknown,Unknown
16,19701005MIPOD,Fall,Pontiac Central High School,Detroit,MI,High,Outside on School Property,Racial,Victims Targeted,No,No,No,No,No,No,7,Unknown,Unknown
18,19701020TNWAN,Fall,Washington Junior High School,Nashville,TN,Junior High,Hallway,Unknown,Victims Targeted,No,No,No,No,No,No,1,Unknown,12:00:00
19,19701027OHAPM,Fall,Appleseed Junior High School,Mansfield,OH,Junior High,Bathroom,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,1,Unknown,8:30:00
21,19701212WIXAA,Winter,Xavier High School,Appleton,WI,High,Inside School Building,Illegal Activity,Neither,No,Yes,No,No,No,Unknown,1,Unknown,23:55:00
22,19710202PAMOP,Winter,Morris E. Leeds Middle School,Philadelphia,PA,Middle,Outside on School Property,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,Yes,1,Unknown,Unknown
23,19710205PAJOW,Winter,John F. Kennedy High School,Willingboro,PA,High,Unknown,Escalation of Dispute,Victims Targeted,No,No,Unknown,Unknown,No,No,9,Unknown,Unknown
25,19710225OHFRC,Winter,Franklin D. Roosevelt Junior High School,ClevelaUnknown,OH,Junior High,Bathroom,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,5,Unknown,Unknown
26,19710309AZROT,Spring,Roskruge Junior High School,Tucson,AZ,Junior High,PlaygrouUnknown,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
28,19710527MIBES,Spring,Benton Harbor High School,Saint Joseph,MI,High,Inside School Building,Bullying,Victims Targeted,No,No,Yes,No,No,No,1,Unknown,Unknown
29,19710602NYEAE,Summer,East Aurora Middle School,East Aurora,NY,Middle,Classroom,Accidental,Neither,No,No,No,No,No,No,1,Unknown,Unknown
30,19710820PAMOM,Summer,Monessen High School,Monessen,PA,High,Outside on School Property,Racial,Victims Targeted,No,Yes,No,No,No,No,10,Unknown,Unknown
32,19710924NYMCB,Fall,McKinley Vocational High School,Buffalo,NY,High,Classroom,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,5,Unknown,Unknown
33,19710928MNCEM,Fall,Central High School,Minneapolis,MN,High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,20,Unknown,12:00:00
35,19711028MDCIB,Fall,City College High School,Baltimore,MD,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,Unknown,11:50:00
36,19711029MDFOB,Fall,Forest Park High School,Baltimore,MD,High,Beside Building,Escalation of Dispute,Neither,No,No,No,No,No,No,1,Unknown,11:55:00
38,19711103NMCAC,Fall,Carlsbad Mid-High School,Carlsbad,NM,6-12,Other,Psychosis,Random Shooting,Yes,No,No,No,No,No,20,Yes,10:19:00
39,19711108OKGRT,Fall,Grove Elementary School,Tulsa,OK,Elementary,Other,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,9:00:00
40,19711124MDEDB,Fall,Edmondson Senior High School,Baltimore,MD,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,5,Unknown,14:27:00
41,19711206CALOL,Winter,Louis Stevenson Junior High School,Los Angeles,CA,Junior High,Gym,Escalation of Dispute,Both,No,No,No,No,Yes,No,8,Unknown,Unknown
43,19720105DCPAW,Winter,Parkview Elementary School,Washington,DC,Elementary,Classroom,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,2,Unknown,9:30:00
45,19720126MDGWB,Winter,Gwynn Falls Junior High School,Baltimore,MD,Junior High,Cafeteria,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,13:55:00
295,19860224LABOS,Winter,Boyet Junior High School,Slidell,LA,Junior High,Classroom,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
46,19720126MDHAB,Winter,Harlem Park Junior High School,Baltimore,MD,Junior High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,1,Unknown,14:45:00
47,19720214ILCAC,Winter,Camlumet High School,Chicago,IL,High,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,9,Unknown,Unknown
49,19720228CAMAL,Winter,Markham Junior High School,Los Angeles,CA,Junior High,Inside School Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
115,19760514FLPAW,Spring,Palm Beach Gardens High School,West Palm Beach,FL,High,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,12:00:00
119,19761210MOFRS,Winter,Fremont School,St. Louis,MO,Elementary,Inside School Building,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,4,Yes,Unknown
122,19770228MOROS,Winter,Roosevelt High School,St. Louis,MO,High,Unknown,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,3,Unknown,Unknown
125,19770321NYPAH,Spring,Parochial School,Hamburg,NY,Other,Field (General),Accidental,Neither,No,No,No,No,No,No,10,Unknown,Unknown
128,19770517FLSTC,Spring,Stone Middle School,Cocoa,FL,Middle,PlaygrouUnknown,Drive-by Shooting,Unknown,No,No,Unknown,Unknown,No,No,8,Unknown,20:15:00
132,19771129MOVAS,Fall,Vashon High School,St. Louis,MO,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,Unknown,Unknown,No,No,3,Unknown,Unknown
135,19771215MABLC,Winter,Blue Hills Vocational High School,Canton,MA,High,Classroom,Escalation of Dispute,Unknown,No,No,Unknown,No,No,Yes,18,Yes,Unknown
139,19780309CAMOS,Spring,Monroe Elementary School,Santa Rosa,CA,Elementary,Classroom,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
142,19780426TXPAD,Spring,Paul Dunbar Elementary School,Dallas,TX,Elementary,Office,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,No,No,3,Unknown,Unknown
146,19780607DEDOD,Summer,Dover Air High,Dover,DE,High,Off School Property,Accidental,Neither,No,No,No,No,No,No,1,Unknown,Unknown
149,19781017MOUNU,Fall,University City High School,University City,MO,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,5,Unknown,10:15:00
153,19790226CABAB,Winter,Barstow High School,Barstow,CA,High,Courtyard,Escalation of Dispute,Both,No,No,Yes,No,No,Yes,6,No,Unknown
156,19790416WIWIM,Spring,Wisconsin Lutheran High School,Milwaukee,WI,High,Beside Building,Self-defense,Victims Targeted,No,No,No,No,No,No,3,Unknown,Unknown
158,19790426TXAZA,Spring,Azle Junior High School,Azle,TX,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,15:30:00
161,19790928MACHC,Fall,Charlestown High School,Charlestown,MA,High,Football Field/Track,Racial,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
167,19800107ARSTS,Winter,Stamps High School,Stamps,AR,High,Classroom,Psychosis,Victims Targeted,No,No,Unknown,No,No,No,3,Unknown,9:02:00
170,19800207TXVAL,Winter,Valley View Elementary School,Longview,TX,Elementary,Inside School Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,10:30:00
175,19800417VACAC,Spring,Capeville Elementary School,Capeville,VA,Elementary,Office,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,8,Unknown,10:15:00
177,19800902CAWHL,Fall,Whittier High School,Los Angeles,CA,High,Football Field/Track,Indiscriminate Shooting,Both,No,No,Unknown,No,Yes,No,2,Yes,Unknown
181,19800926CTBRB,Fall,Bridgeport Central High School,Bridgeport,CT,High,Beside Building,Indiscriminate Shooting,Both,No,No,No,Yes,No,No,10,Yes,8:55:00
184,19801117TXEAF,Fall,Eastern Hills High School,Fort Worth,TX,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,1,Unknown,12:00:00
189,19810210ARLIL,Winter,Little Rock Hall High School,Little Rock,AR,High,Parking Lot,Escalation of Dispute,Victims Targeted,No,No,No,Unknown,No,No,15,Unknown,Unknown
191,19810303INMAI,Spring,Marshall High School,Indianapolis,IN,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,2,Unknown,8:40:00
196,19810901PAWIP,Fall,William Longstreth Elementary School,Philadelphia,PA,Elementary,Basketball Court,Escalation of Dispute,Both,No,No,No,No,Yes,No,10,Unknown,20:30:00
198,19810908FLSTW,Fall,Stuart Middle School,West Palm Beach,FL,Middle,Classroom,Accidental,Victims Targeted,No,No,Unknown,Unknown,No,No,2,Unknown,Unknown
202,19811216TXUNH,Winter,Unnamed school,Houston,TX,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,6,Unknown,7:45:00
205,19820208MADOD,Winter,Dorchester High School,Dorchester,MA,High,Inside School Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,13:45:00
209,19820319NVVAL,Spring,Valley High School,Las Vegas,NV,High,Classroom,Psychosis,Both,No,No,No,No,No,No,3,Yes,7:50:00
210,19820407CODEL,Spring,Deer Creek Junior High School,Littleton,CO,High,Field (General),Psychosis,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
214,19820527NVGAL,Spring,Garside Junior High School,Las Vegas,NV,Junior High,Beside Building,Drive-by Shooting,Unknown,No,No,Unknown,Unknown,No,Unknown,3,Unknown,Unknown
218,19821108MICOD,Fall,Cooley High School,Detroit,MI,High,Inside School Building,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,8:10:00
221,19821220MIFID,Winter,Finney High School,Detroit,MI,High,Hallway,Illegal Activity,Victims Targeted,No,No,No,No,No,No,1,Unknown,8:55:00
224,19830128MDWIB,Winter,William H. Lemmel Middle School,Baltimore,MD,Middle,Classroom,Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,Unknown
228,19830202NMALA,Winter,Albuquerque High School,Alburquerque,NM,High,Field (General),Unknown,Unknown,No,No,No,No,Unknown,Unknown,1,Unknown,Unknown
231,19830516NYBRN,Spring,Brentwood High School,New York,NY,High,Classroom,Hostage/Standoff,Both,Yes,No,No,No,No,Yes,7,Yes,12:45:00
233,19830518FLNOM,Spring,North Miami Senior High School,Miami,FL,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,14:30:00
236,19830912CAMAC,Fall,Manuel Dominguez High School,Compton,CA,High,Hallway,Escalation of Dispute,Both,No,No,No,No,Yes,No,10,Unknown,Unknown
240,19831007CACOL,Fall,Compton High School,Los Angeles,CA,High,Hallway,Escalation of Dispute,Random Shooting,No,No,No,No,Yes,No,10,Unknown,Unknown
243,19831117ILJAC,Fall,James G. Blaine Elementary School,Chicago,IL,Elementary,Outside on School Property,Escalation of Dispute,Victims Targeted,No,No,No,No,Yes,No,10,Unknown,Unknown
294,19860129MDLAB,Winter,Lake Clifton High School,Baltimore,MD,High,Inside School Building,Bullying,Victims Targeted,No,No,Yes,No,No,No,1,Unknown,Unknown
110,19760123OHCOC,Winter,Columbus Central High School,Columbus,OH,High,Office,Unknown,Victims Targeted,No,No,Unknown,Unknown,No,No,2,Unknown,14:20:00
111,19760206FLESP,Winter,Escambia High School,Pensacola,FL,High,Outside on School Property,Racial,Neither,No,No,No,No,No,No,8,Unknown,Unknown
112,19760212MIMUD,Winter,Murray-Wright High School,Detroit,MI,High,Hallway,Escalation of Dispute,Random Shooting,No,No,No,Yes,No,No,10,Unknown,Unknown
113,19760412TXODF,Spring,O D Wyatt High School,Fort Worth,TX,High,Hallway,Escalation of Dispute,Both,No,No,Unknown,No,No,No,10,Unknown,Unknown
114,19760513MOMAS,Spring,Mark Twain School,St. Louis,MO,Elementary,Cafeteria,Escalation of Dispute,Random Shooting,No,No,No,No,No,No,3,Unknown,Unknown
116,19760602MDMTC,Summer,Mt. Savage High School,CumberlaUnknown,MD,High,Classroom,Intentional Property Damage,Unknown,No,No,Unknown,No,No,No,4,Unknown,11:45:00
117,19760920NCGUG,Fall,Guildord County School Bus,Greensboro,NC,Unknown,School Bus,Indiscriminate Shooting,Random Shooting,No,No,No,No,No,No,2,Unknown,Unknown
118,19761110MIBUD,Fall,Burt Elementary School,Detroit,MI,Elementary,Classroom,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,4,Unknown,Unknown
120,19770113ILOLB,Winter,Old Main Eisenhower High School,Blue IslaUnknown,IL,High,Gym,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,7:30:00
121,19770209ILFEC,Winter,Fenger High School,Chicago,IL,High,Hallway,Escalation of Dispute,Both,No,No,No,No,No,No,10,Unknown,Unknown
123,19770228TXHOA,Winter,Horace Mann Junior High School,Amarillo,TX,Junior High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
124,19770308ILCOE,Spring,Collinsville High School,Edwardsville,IL,High,Hallway,Anger Over Grade/Suspension/Discipline,Both,No,No,No,No,No,No,2,Unknown,12:35:00
126,19770407TXWHW,Spring,Whitharral High School,Whitharral,TX,High,Beside Building,Psychosis,Victims Targeted,No,No,No,No,No,Yes,3,Unknown,9:00:00
127,19770418TNPIN,Spring,Pioneer Christian Academy,Nashville,TN,Other,Parking Lot,Domestic w/ Targeted Victim,Victims Targeted,No,No,No,Yes,No,No,3,Unknown,9:00:00
129,19770622ILHOC,Summer,Holy Trinity High School,Chicago,IL,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,9,Unknown,Unknown
130,19770711COSOC,Summer,South Junior High School,Colorado Springs,CO,Junior High,Beside Building,Escalation of Dispute,Unknown,No,No,No,No,No,No,1,Unknown,Unknown
